Airline,Origin,Delay (min)
AA,DSM,156.0
AA,DTW,89.6
AA,EGE,191.57142857142858
AA,ELP,10.25
AA,EWR,32.78260869565217
AA,FAT,2.25
AA,FLL,22.0
AA,GEG,-2.5
AA,GSP,237.0
AA,GUC,81.5
AA,HDN,3.5
AA,HNL,-10.0
AA,IAD,11.5
AA,IAH,17.11764705882353
AA,ICT,
AA,ILM,-8.0
AA,IND,28.444444444444443
AA,JAC,121.0
AA,JAX,14.6
AA,JFK,22.933333333333334
AA,KOA,19.666666666666668
AA,LAS,8.119047619047619
AA,LAX,31.607142857142858
AA,LBB,50.0
AA,LGA,32.97826086956522
AA,LIH,25.333333333333332
AA,MCI,14.714285714285714
AA,MCO,41.31481481481482
AA,MDT,17.0
AA,MEM,23.166666666666668
AA,MFE,125.0
AA,MIA,43.04109589041096
AA,MKE,-4.5
AA,MSP,31.55
AA,MSY,19.0
AA,MTJ,54.0
AA,OAK,-9.333333333333334
AA,OGG,4.888888888888889
AA,OKC,28.75
AA,OMA,15.0
AA,ONT,1.7777777777777777
AA,ORD,27.763313609467456
AA,ORF,18.444444444444443
AA,PBI,3.1666666666666665
AA,PDX,1.6363636363636365
AA,PHL,17.091603053435115
AA,PHX,17.496969696969696
AA,PIT,20.210526315789473
AA,PNS,12.0
AA,PSP,13.0
AA,PVD,28.875
AA,PWM,-0.5
AA,RDU,24.115384615384617
AA,RIC,-4.25
AA,RNO,23.833333333333332
AA,RSW,15.8125
AA,SAN,5.481481481481482
AA,SAT,1.1578947368421053
AA,SAV,18.0
AA,SBA,0.0
AA,SEA,0.04
AA,SFO,14.512820512820513
AA,SJC,25.90909090909091
AA,SJU,17.714285714285715
AA,SLC,2.3846153846153846
AA,SMF,5.416666666666667
AA,SNA,36.35294117647059
AA,STL,7.866666666666666
AA,STT,-14.5
AA,STX,-13.5
AA,SYR,-9.0
AA,TPA,23.23076923076923
AA,TUL,-4.375
AA,TUS,13.285714285714286
AA,VPS,69.33333333333333
AS,ABQ,-4.0
AS,ADQ,-16.0
AS,ANC,-3.838709677419355
AS,ATL,1.0
AS,AUS,25.333333333333332
AS,BET,-2.0
AS,BLI,2.0
AS,BNA,-1.0
AS,BOI,-5.0
AS,BOS,42.5
AS,BRW,-10.0
AS,BUR,9.4
AS,BWI,12.0
AS,CHS,-7.0
AS,DCA,-9.666666666666666
AS,DEN,15.333333333333334
AS,DFW,12.75
AS,DTW,39.0
AS,EWR,9.5
AS,FAI,-6.4
AS,FLL,-1.0
AS,GEG,-7.5
AS,HNL,20.166666666666668
AS,IAD,-3.0
AS,IAH,22.0
AS,IND,35.0
AS,JFK,-2.0
AS,JNU,18.333333333333332
AS,KOA,-8.25
AS,KTN,4.333333333333333
AS,LAS,-9.25
AS,LAX,11.045454545454545
AS,LIH,4.0
AS,MCI,0.0
AS,MCO,64.0
AS,MSP,7.5
AS,MSY,12.0
AS,OAK,7.666666666666667
AS,OGG,1.6666666666666667
AS,OMA,19.0
AS,OME,12.0
AS,ONT,-5.333333333333333
AS,ORD,5.666666666666667
AS,OTZ,22.0
AS,PDX,2.24
AS,PHL,4.0
AS,PHX,6.625
AS,PSG,72.0
AS,PSP,-3.4
AS,RDU,-8.0
AS,SAN,48.64705882352941
AS,SAT,-5.0
AS,SBA,-3.0
AS,SCC,-20.5
AS,SEA,0.13664596273291926
AS,SFO,9.647058823529411
AS,SIT,-2.5
AS,SJC,-6.142857142857143
AS,SLC,-5.142857142857143
AS,SMF,-1.375
AS,SNA,-6.5
AS,STL,-12.5
AS,TPA,-7.0
AS,TUS,2.0
AS,WRG,
B6,ABQ,12.0
