Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
5192,1/1/2018,MQ,3415,ORD,CVG,42,264,11:12,11,152,0
8016,1/1/2018,OO,5586,ORD,DCA,87,612,13:01,13,156,0
8149,1/1/2018,OO,5779,ORD,ALB,102,723,16:23,16,156,0
8247,1/1/2018,OO,5957,ORD,BNA,60,409,13:19,13,159,0
16091,1/1/2018,AA,2634,ORD,RSW,149,1120,11:31,11,161,0
6714,1/1/2018,OO,3005,ORD,DTW,57,235,21:11,21,166,0
15979,1/1/2018,AA,2518,ORD,DFW,117,802,23:23,23,168,0
1333,1/1/2018,UA,411,ORD,LAX,216,1744,22:27,22,171,0
7998,1/1/2018,OO,5558,ORD,MDT,82,594,16:42,16,172,0
1553,1/1/2018,UA,217,ORD,DFW,114,802,11:48,11,173,0
6678,1/1/2018,OO,2968,ORD,BUF,70,474,18:15,18,175,0
7567,1/1/2018,OO,5062,ORD,EAU,51,269,15:13,15,178,0
14205,1/1/2018,AA,2201,ORD,STL,39,258,6:00,6,184,0
6659,1/1/2018,OO,2952,ORD,DAY,40,240,11:31,11,184,0
1297,1/1/2018,UA,442,ORD,BDL,96,783,20:55,20,185,0
6239,1/1/2018,OH,5108,ORD,DSM,50,299,13:40,13,201,0
3997,1/1/2018,F9,1263,ORD,LAS,191,1514,23:56,23,201,0
6655,1/1/2018,OO,2949,ORD,FWA,36,157,20:17,20,202,0
8005,1/1/2018,OO,5570,ORD,CLE,,316,11:32,11,212,0
7527,1/1/2018,OO,5016,ORD,MKG,,118,11:07,11,216,1
1569,1/1/2018,UA,206,ORD,MCO,126,1005,11:52,11,218,0
711,1/1/2018,UA,1213,ORD,SFO,233,1846,19:36,19,218,0
8183,1/1/2018,OO,5839,ORD,ASE,154,1013,12:41,12,221,0
6647,1/1/2018,OO,2941,ORD,RST,47,268,16:57,16,222,0
8237,1/1/2018,OO,5940,ORD,ATL,83,606,12:44,12,224,0
7865,1/1/2018,OO,5412,ORD,SYR,88,607,21:20,21,227,0
6850,1/1/2018,OO,3147,ORD,TOL,39,213,19:17,19,232,0
17689,1/1/2018,DL,2426,ORD,ATL,85,606,14:48,14,235,0
6715,1/1/2018,OO,3006,ORD,PIA,26,130,14:06,14,244,0
6663,1/1/2018,OO,2956,ORD,TVC,44,224,19:10,19,250,0
6830,1/1/2018,OO,3129,ORD,MEI,89,667,21:14,21,250,0
15306,1/1/2018,AA,374,ORD,LGA,96,733,17:42,17,252,0
8250,1/1/2018,OO,5965,ORD,LGA,98,733,20:32,20,267,0
7576,1/1/2018,OO,5071,ORD,SPI,30,174,13:33,13,278,0
13780,1/1/2018,AA,547,ORD,PHX,190,1440,21:54,21,278,0
5434,1/1/2018,MQ,3924,ORD,GSO,79,589,23:20,23,296,0
735,1/1/2018,UA,1180,ORD,MCO,125,1005,22:47,22,297,0
7620,1/1/2018,OO,5141,ORD,CMX,,360,14:50,14,300,1
